DEPTH,FEATURE0,FEATURE1
124.58068389511031,598,1187
124.59176230518037,649,1290
124.60284071525041,641,1218
124.61391912532046,590,1218
124.62499753539052,559,1186
124.63607594546058,717,1171
124.64715435553063,590,1171
124.65823276560067,559,1172
124.66931117567073,622,1187
124.68038958574078,560,1218
124.69146799581083,559,1171
124.70254640588088,536,1173
124.71362481595094,527,1218
124.72470322602098,117,1234
124.73578163609103,402,1187
124.74686004616109,448,1203
124.75793845623113,645,1038
124.76901686630119,637,1267
124.78009527637124,402,1210
124.7911736864413,339,1187
124.80225209651135,401,1139
124.8133305065814,425,1140
124.82440891665145,401,1155
124.8354873267215,449,1218
124.84656573679155,434,1265
124.8576441468616,466,1304
124.86872255693166,403,1264
124.8798009670017,417,1265
124.89087937707176,401,1187
124.90195778714181,313,1218
124.91303619721185,463,1264
124.92411460728192,441,1210
124.93519301735196,441,1124
124.94627142742202,456,1269
124.95734983749206,386,1242
124.96842824756212,441,1264
124.97950665763217,433,1219
124.99058506770223,457,1264
125.00166347777227,410,1250
125.01274188784232,447,1262
125.02382029791238,392,1226
125.03489870798242,386,1264
125.04597711805248,403,1273
125.05705552812253,370,1260
125.06813393819259,340,1256
125.07921234826264,337,1274
125.09029075833269,403,1282
125.10136916840273,557,1266
125.11244757847278,260,1149
125.12352598854284,260,1261
125.1346043986129,401,1126
125.14568280868295,229,1115
125.15676121875299,402,1129
125.16783962882305,401,1172
125.1789180388931,535,1218
125.18999644896314,559,1234
125.2010748590332,559,1129
125.21215326910325,558,1136
125.22323167917331,583,1129
125.23431008924335,560,1127
125.2453884993134,89,1127
125.25646690938345,86,1109
125.2675453194535,88,1108
125.27862372952356,324,1128
125.28970213959362,87,1129
125.30078054966367,653,1129
125.31185895973371,542,1127
125.32293736980377,433,1128
125.33401577987382,606,1125
125.34509418994386,574,1127
125.35617260001392,438,1130
125.36725101008398,571,1131
125.37832942015402,417,1131
125.38940783022407,590,1129
125.40048624029413,440,1155
125.41156465036418,478,1130
125.42264306043424,402,1128
125.43372147050428,428,1135
125.44479988057434,411,1076
125.45587829064439,420,1132
125.46695670071443,572,1131
125.47803511078449,444,1117
125.48911352085454,557,1107
125.50019193092459,574,1105
125.51127034099464,566,1128
125.5223487510647,557,1109
125.53342716113474,439,1109
125.5445055712048,571,1107
125.55558398127485,557,1127
125.5666623913449,569,1129
125.57774080141496,574,1142
125.588819211485,557,1128
125.59989762155506,256,1109
125.6109760316251,567,1130
125.62205444169516,428,1106
125.63313285176521,430,1128
125.64421126183527,496,1128
125.65528967190531,511,1129
125.66636808197536,558,1127
125.67744649204542,590,1127
125.68852490211546,512,1124
125.69960331218552,637,1129
125.71068172225557,559,1128
125.72176013232563,558,1127
125.73283854239567,574,1110
